----------------- GPT2_czech_XL ------ DatasetType.FORCED_SYLLABLES ----------------
cuda available.
EPOCH 0 started==============================
sum loss 11099.0302734375
sum loss 7946.82080078125
sum loss 7193.4189453125
sum loss 6821.6845703125
sum loss 6614.6328125
sum loss 6508.66015625
sum loss 6529.4306640625
sum loss 6530.955078125
sum loss 6539.1767578125
sum loss 6535.76123046875
sum loss 6562.4189453125
sum loss 6504.314453125
sum loss 6503.140625
sum loss 6556.2763671875
sum loss 6496.28271484375
sum loss 6487.68212890625
sum loss 6562.40283203125
sum loss 6556.9169921875
sum loss 6514.2216796875
sum loss 6532.57568359375
sum loss 6537.75537109375
sum loss 6531.2109375
sum loss 6508.345703125
sum loss 6466.14697265625
EPOCH 1 started==============================
sum loss 6456.1083984375
sum loss 6516.59228515625
sum loss 6501.0693359375
sum loss 6511.451171875
sum loss 6466.58447265625
sum loss 6473.33642578125
sum loss 6517.6298828125
sum loss 6523.7890625
sum loss 6448.60400390625
sum loss 6495.7373046875
sum loss 6510.0107421875
sum loss 6502.17041015625
sum loss 6484.02490234375
sum loss 6526.36669921875
sum loss 6485.80712890625
sum loss 6481.5078125
sum loss 6457.33154296875
sum loss 6479.57861328125
sum loss 6503.1220703125
sum loss 6541.71044921875
sum loss 6468.2646484375
sum loss 6477.662109375
sum loss 6519.30419921875
sum loss 6471.115234375
EPOCH 2 started==============================
sum loss 6525.58740234375
sum loss 6489.67529296875
sum loss 6509.66162109375
sum loss 6478.20703125
sum loss 6477.92822265625
sum loss 6519.98486328125
sum loss 6490.806640625
sum loss 6532.9375
sum loss 6491.50927734375
sum loss 6511.6904296875
sum loss 6461.197265625
sum loss 6446.29345703125
sum loss 6477.8876953125
sum loss 6486.68896484375
sum loss 6477.68896484375
sum loss 6526.30078125
sum loss 6520.98095703125
sum loss 6446.294921875
sum loss 6494.7744140625
sum loss 6477.10009765625
sum loss 6492.9287109375
sum loss 6504.21435546875
sum loss 6530.828125
sum loss 6514.3271484375
EPOCH 3 started==============================
sum loss 6472.26806640625
sum loss 6516.25732421875
sum loss 6479.2158203125
sum loss 6503.634765625
sum loss 6468.8857421875
sum loss 6489.14990234375
sum loss 6482.68896484375
sum loss 6460.0615234375
sum loss 6522.28125
sum loss 6511.85302734375
sum loss 6508.88232421875
sum loss 6517.77294921875
sum loss 6519.85693359375
sum loss 6490.45458984375
sum loss 6523.208984375
sum loss 6467.32861328125
sum loss 6499.5703125
sum loss 6474.44775390625
sum loss 6477.65234375
sum loss 6487.61767578125
sum loss 6515.564453125
sum loss 6503.63427734375
sum loss 6500.72509765625
sum loss 6471.34619140625
EPOCH 4 started==============================
sum loss 6454.767578125
sum loss 6471.1787109375
sum loss 6473.705078125
sum loss 6528.37646484375
sum loss 6505.09521484375
sum loss 6504.9677734375
sum loss 6478.087890625
sum loss 6446.32177734375
sum loss 6510.39892578125
sum loss 6481.11279296875
sum loss 6480.54833984375
sum loss 6500.14306640625
sum loss 6488.2197265625
sum loss 6501.150390625
sum loss 6514.6640625
sum loss 6502.8720703125
sum loss 6478.7763671875
sum loss 6510.32275390625
sum loss 6490.52490234375
sum loss 6491.83349609375
sum loss 6513.16650390625
sum loss 6474.1923828125
sum loss 6488.71142578125
sum loss 6485.7314453125
sum loss 6519.89208984375
