----------------- tinyLlama ------ DatasetType.BASELINE ----------------
cuda available.
----------------- tinyLlama ------ DatasetType.BASELINE ----------------
cuda available.
EPOCH 2 started==============================
sum loss 11423.7333984375
sum loss 10342.3408203125
sum loss 10166.87109375
sum loss 10150.0869140625
sum loss 10028.7998046875
sum loss 10007.72265625
sum loss 10005.8916015625
sum loss 9945.138671875
sum loss 9926.8564453125
sum loss 9989.7958984375
sum loss 10029.1640625
sum loss 9978.748046875
sum loss 9971.52734375
sum loss 9979.27734375
sum loss 9984.6923828125
sum loss 9987.1259765625
sum loss 10029.2919921875
sum loss 10010.2529296875
sum loss 10020.8544921875
sum loss 9965.791015625
sum loss 10007.6220703125
sum loss 10033.1083984375
sum loss 10011.10546875
sum loss 10001.4423828125
EPOCH 3 started==============================
sum loss 9796.4755859375
sum loss 9795.4130859375
sum loss 9835.4013671875
sum loss 9771.91015625
sum loss 9758.3828125
sum loss 9788.056640625
sum loss 9740.2099609375
sum loss 9838.6884765625
sum loss 9832.6865234375
sum loss 9788.2138671875
sum loss 9748.1279296875
sum loss 9781.9736328125
sum loss 9742.7890625
sum loss 9813.728515625
sum loss 9774.6845703125
sum loss 9827.3447265625
sum loss 9778.2041015625
sum loss 9822.3564453125
sum loss 9773.8544921875
sum loss 9817.9443359375
sum loss 9798.22265625
sum loss 9790.8583984375
sum loss 9809.2509765625
sum loss 9790.33203125
EPOCH 4 started==============================
sum loss 9787.876953125
sum loss 9787.03515625
sum loss 9812.234375
sum loss 9828.751953125
sum loss 9783.8046875
sum loss 9767.7265625
sum loss 9782.048828125
sum loss 9704.9912109375
sum loss 9825.267578125
sum loss 9780.9580078125
sum loss 9724.6474609375
sum loss 9751.548828125
sum loss 9825.8564453125
sum loss 9809.8076171875
sum loss 9807.765625
sum loss 9832.4873046875
sum loss 9795.2119140625
sum loss 9873.4951171875
sum loss 9784.47265625
sum loss 9730.3349609375
sum loss 9766.62890625
sum loss 9806.216796875
sum loss 9803.8876953125
sum loss 9751.24609375
