----------------- tinyLlama ------ DatasetType.FORCED_SYLLABLES ----------------
cuda available.
EPOCH 0 started==============================
sum loss 8032.33349609375
sum loss 6172.45361328125
sum loss 5874.5087890625
sum loss 5682.2158203125
sum loss 5595.75634765625
sum loss 5491.6201171875
sum loss 5536.3486328125
sum loss 5553.6953125
sum loss 5540.57568359375
sum loss 5540.57275390625
sum loss 5523.10791015625
sum loss 5555.96484375
sum loss 5544.626953125
sum loss 5557.68212890625
sum loss 5556.1806640625
sum loss 5531.1318359375
sum loss 5532.00390625
sum loss 5538.02880859375
sum loss 5528.5947265625
sum loss 5554.7978515625
sum loss 5521.7568359375
sum loss 5532.83349609375
sum loss 5554.66845703125
sum loss 5519.89013671875
EPOCH 1 started==============================
sum loss 5484.9287109375
sum loss 5448.4248046875
sum loss 5481.32275390625
sum loss 5460.25048828125
sum loss 5478.6455078125
sum loss 5472.82177734375
sum loss 5463.05126953125
sum loss 5448.0234375
sum loss 5482.78515625
sum loss 5466.16064453125
sum loss 5441.20947265625
sum loss 5440.90234375
sum loss 5449.94091796875
sum loss 5485.15673828125
sum loss 5483.19287109375
sum loss 5449.263671875
sum loss 5468.46142578125
sum loss 5474.6416015625
sum loss 5489.125
sum loss 5495.31201171875
sum loss 5451.2763671875
sum loss 5463.365234375
sum loss 5415.4609375
sum loss 5457.91748046875
EPOCH 2 started==============================
sum loss 5460.775390625
sum loss 5450.3984375
sum loss 5452.05126953125
sum loss 5444.26904296875
sum loss 5452.77734375
sum loss 5432.42041015625
sum loss 5461.0478515625
sum loss 5525.87890625
sum loss 5444.30126953125
sum loss 5468.88037109375
sum loss 5458.08154296875
sum loss 5462.5458984375
sum loss 5460.611328125
sum loss 5473.81396484375
sum loss 5461.0546875
sum loss 5442.04150390625
sum loss 5480.45166015625
sum loss 5477.04248046875
sum loss 5451.3662109375
sum loss 5452.8046875
sum loss 5465.1494140625
sum loss 5463.06591796875
sum loss 5470.236328125
sum loss 5484.75390625
EPOCH 3 started==============================
sum loss 5465.50390625
sum loss 5459.4375
sum loss 5478.3818359375
sum loss 5472.5634765625
sum loss 5468.26708984375
sum loss 5454.0517578125
sum loss 5454.9462890625
sum loss 5441.39208984375
sum loss 5461.78369140625
sum loss 5473.5615234375
sum loss 5427.27587890625
sum loss 5449.716796875
sum loss 5425.7626953125
sum loss 5451.44189453125
sum loss 5465.5947265625
sum loss 5462.06591796875
sum loss 5477.6640625
sum loss 5473.22265625
sum loss 5453.54150390625
sum loss 5492.41259765625
sum loss 5487.3603515625
sum loss 5476.40673828125
sum loss 5464.34423828125
sum loss 5468.58056640625
EPOCH 4 started==============================
sum loss 5448.55517578125
sum loss 5432.07177734375
sum loss 5471.939453125
sum loss 5457.1728515625
sum loss 5494.673828125
sum loss 5449.23388671875
sum loss 5449.8017578125
sum loss 5497.0390625
sum loss 5462.4775390625
sum loss 5479.98583984375
sum loss 5457.82861328125
sum loss 5469.6826171875
sum loss 5447.74560546875
sum loss 5455.283203125
sum loss 5440.8466796875
sum loss 5481.048828125
sum loss 5438.251953125
sum loss 5463.9951171875
sum loss 5478.7158203125
sum loss 5458.0185546875
sum loss 5483.72802734375
sum loss 5467.16943359375
sum loss 5456.5341796875
sum loss 5449.02587890625
sum loss 5478.9130859375
