----------------- GPT2_oscar ------ DatasetType.BASELINE ----------------
cuda available.
----------------- GPT2_oscar ------ DatasetType.BASELINE ----------------
cuda available.
EPOCH 2 started==============================
sum loss 17635.03515625
sum loss 15720.0908203125
sum loss 15369.9951171875
sum loss 15281.2138671875
sum loss 15002.3154296875
sum loss 15029.5712890625
sum loss 14918.50390625
sum loss 14924.3486328125
sum loss 15057.0673828125
sum loss 15059.8642578125
sum loss 15014.7861328125
sum loss 14994.0126953125
sum loss 14959.8740234375
sum loss 14953.4501953125
sum loss 14994.591796875
sum loss 14978.0859375
sum loss 15072.2822265625
sum loss 14991.078125
sum loss 15023.8115234375
sum loss 15107.490234375
sum loss 15064.0966796875
sum loss 15028.4013671875
sum loss 14982.134765625
sum loss 14982.6162109375
EPOCH 3 started==============================
sum loss 14896.9951171875
sum loss 14964.62109375
sum loss 14981.0068359375
sum loss 14899.611328125
sum loss 14921.7724609375
sum loss 14930.3447265625
sum loss 14870.125
sum loss 14870.7890625
sum loss 14859.537109375
sum loss 14920.8427734375
sum loss 14923.955078125
sum loss 14883.75390625
sum loss 14860.7470703125
sum loss 14954.048828125
sum loss 14947.119140625
sum loss 14893.1474609375
sum loss 14879.6044921875
sum loss 14938.9951171875
sum loss 14962.171875
sum loss 14967.572265625
sum loss 14949.609375
sum loss 14925.873046875
sum loss 14935.4267578125
sum loss 14952.115234375
EPOCH 4 started==============================
sum loss 14943.1982421875
sum loss 14896.3984375
sum loss 14935.4765625
sum loss 14940.7314453125
sum loss 14930.0166015625
sum loss 14979.109375
sum loss 14937.9853515625
sum loss 14954.140625
sum loss 14976.240234375
sum loss 14863.2626953125
sum loss 14871.37890625
sum loss 14909.158203125
sum loss 14841.0546875
sum loss 14948.9619140625
sum loss 14893.6923828125
sum loss 15010.30859375
sum loss 14972.4287109375
sum loss 14915.3994140625
sum loss 14830.7138671875
sum loss 14958.8369140625
sum loss 14925.7578125
sum loss 14919.8623046875
sum loss 14881.0390625
sum loss 14874.8115234375
