----------------- GPT2_oscar ------ DatasetType.SYLLABLES ----------------
cuda available.
EPOCH 2 started==============================
sum loss 14801.7763671875
sum loss 12023.4638671875
sum loss 11428.275390625
sum loss 11093.5234375
sum loss 10876.830078125
sum loss 10666.9541015625
sum loss 10697.654296875
sum loss 10671.3359375
sum loss 10767.9189453125
sum loss 10764.7275390625
sum loss 10751.55078125
sum loss 10738.4794921875
sum loss 10753.1904296875
sum loss 10739.7138671875
sum loss 10812.5986328125
sum loss 10808.099609375
sum loss 10758.7431640625
sum loss 10755.2158203125
sum loss 10739.802734375
sum loss 10641.314453125
sum loss 10765.7783203125
sum loss 10688.57421875
sum loss 10747.001953125
sum loss 10792.177734375
EPOCH 3 started==============================
sum loss 10657.7138671875
sum loss 10698.525390625
sum loss 10723.55859375
sum loss 10642.78515625
sum loss 10663.8720703125
sum loss 10623.6484375
sum loss 10687.2978515625
sum loss 10684.1259765625
sum loss 10681.2734375
sum loss 10660.8427734375
sum loss 10748.775390625
sum loss 10739.6015625
sum loss 10605.1279296875
sum loss 10655.0732421875
sum loss 10715.4345703125
sum loss 10626.7109375
sum loss 10705.3310546875
sum loss 10695.306640625
sum loss 10681.5498046875
sum loss 10719.0185546875
sum loss 10700.9326171875
sum loss 10707.7265625
sum loss 10658.7998046875
sum loss 10705.5400390625
EPOCH 4 started==============================
sum loss 10760.3251953125
sum loss 10701.4208984375
sum loss 10668.5576171875
sum loss 10678.3046875
sum loss 10668.4345703125
sum loss 10598.3203125
sum loss 10686.68359375
sum loss 10718.7333984375
sum loss 10692.0546875
sum loss 10687.6005859375
sum loss 10679.015625
sum loss 10691.3994140625
sum loss 10648.5107421875
sum loss 10694.080078125
sum loss 10687.4404296875
sum loss 10735.529296875
sum loss 10642.1025390625
sum loss 10717.4306640625
sum loss 10684.5556640625
sum loss 10690.380859375
sum loss 10665.58203125
sum loss 10705.2646484375
sum loss 10708.02734375
sum loss 10693.5810546875
