----------------- GPT2_oscar ------ DatasetType.END_OF_LINES ----------------
cuda available.
EPOCH 2 started==============================
sum loss 17811.6640625
sum loss 14430.5107421875
sum loss 13346.0107421875
sum loss 12696.296875
sum loss 12250.5693359375
sum loss 12040.9453125
sum loss 12094.8212890625
sum loss 12069.51953125
sum loss 12063.4599609375
sum loss 12094.5576171875
sum loss 12037.732421875
sum loss 12066.697265625
sum loss 12065.9560546875
sum loss 12061.1943359375
sum loss 12094.642578125
sum loss 12157.49609375
sum loss 12104.845703125
sum loss 12029.9638671875
sum loss 12065.4228515625
sum loss 12132.7841796875
sum loss 12051.880859375
sum loss 12093.3212890625
sum loss 12063.2109375
sum loss 12096.8095703125
EPOCH 3 started==============================
sum loss 12059.52734375
sum loss 12017.9296875
sum loss 12003.984375
sum loss 12005.19921875
sum loss 12020.087890625
sum loss 12023.470703125
sum loss 12074.30859375
sum loss 12061.9716796875
sum loss 12091.8828125
sum loss 12003.5048828125
sum loss 12004.77734375
sum loss 12022.69140625
sum loss 11994.4365234375
sum loss 12033.6181640625
sum loss 12016.572265625
sum loss 11996.3701171875
sum loss 12036.1318359375
sum loss 11992.8486328125
sum loss 12019.07421875
sum loss 12082.6767578125
sum loss 12023.4423828125
sum loss 11992.23828125
sum loss 12014.04296875
sum loss 11997.7041015625
EPOCH 4 started==============================
sum loss 12017.654296875
sum loss 12109.6201171875
sum loss 11976.74609375
sum loss 12036.162109375
sum loss 11999.7197265625
sum loss 11977.9912109375
sum loss 12037.8291015625
sum loss 12037.642578125
sum loss 12036.9580078125
sum loss 11997.65234375
sum loss 12008.2626953125
sum loss 11976.330078125
sum loss 11971.7802734375
sum loss 11976.5595703125
sum loss 12038.7880859375
sum loss 12024.0546875
sum loss 11990.9072265625
sum loss 12081.1767578125
sum loss 11962.5986328125
sum loss 12025.6630859375
sum loss 12055.345703125
sum loss 12009.462890625
sum loss 12066.634765625
sum loss 12040.9853515625
