----------------- GPT2_oscar ------ DatasetType.CHARACTERISTIC_WORDS ----------------
cuda available.
EPOCH 0 started==============================
sum loss 14290.7509765625
sum loss 11583.0673828125
sum loss 11032.22265625
sum loss 10739.7548828125
sum loss 10535.21875
sum loss 10438.9560546875
sum loss 10501.6240234375
sum loss 10523.8896484375
sum loss 10509.4453125
sum loss 10476.65625
sum loss 10502.0576171875
sum loss 10495.609375
sum loss 10504.7666015625
sum loss 10536.7822265625
sum loss 10468.603515625
sum loss 10507.8564453125
sum loss 10514.1884765625
sum loss 10494.2099609375
sum loss 10511.23828125
sum loss 10453.546875
sum loss 10554.29296875
sum loss 10492.259765625
sum loss 10509.7314453125
sum loss 10453.8916015625
EPOCH 1 started==============================
sum loss 10431.83203125
sum loss 10426.77734375
sum loss 10491.361328125
sum loss 10413.4453125
sum loss 10482.75390625
sum loss 10470.6201171875
sum loss 10464.9892578125
sum loss 10406.2861328125
sum loss 10457.453125
sum loss 10537.12109375
sum loss 10478.697265625
sum loss 10434.419921875
sum loss 10441.771484375
sum loss 10444.9990234375
sum loss 10437.322265625
sum loss 10485.234375
sum loss 10382.7216796875
sum loss 10433.95703125
sum loss 10393.5009765625
sum loss 10396.1474609375
sum loss 10536.271484375
sum loss 10473.146484375
sum loss 10354.7421875
sum loss 10455.34375
EPOCH 2 started==============================
sum loss 10469.14453125
sum loss 10461.9677734375
sum loss 10427.083984375
sum loss 10490.1220703125
sum loss 10481.609375
sum loss 10463.58984375
sum loss 10437.8779296875
sum loss 10419.7255859375
sum loss 10433.1953125
sum loss 10420.0087890625
sum loss 10444.8671875
sum loss 10456.4150390625
sum loss 10435.5078125
sum loss 10468.759765625
sum loss 10470.4755859375
sum loss 10487.7568359375
sum loss 10485.00390625
sum loss 10425.921875
sum loss 10471.5302734375
sum loss 10441.650390625
sum loss 10453.03515625
sum loss 10466.2666015625
sum loss 10405.326171875
sum loss 10405.90625
EPOCH 3 started==============================
sum loss 10392.0703125
sum loss 10446.4736328125
sum loss 10428.85546875
sum loss 10445.34765625
sum loss 10458.544921875
sum loss 10482.5634765625
sum loss 10454.7060546875
sum loss 10477.0283203125
sum loss 10453.0615234375
sum loss 10489.26953125
sum loss 10503.3837890625
sum loss 10451.091796875
sum loss 10430.6103515625
sum loss 10434.77734375
sum loss 10418.4150390625
sum loss 10349.8740234375
sum loss 10477.8662109375
sum loss 10449.8369140625
sum loss 10425.1328125
sum loss 10505.2001953125
sum loss 10404.1083984375
sum loss 10449.4404296875
sum loss 10487.6181640625
sum loss 10386.7861328125
EPOCH 4 started==============================
sum loss 10418.794921875
sum loss 10387.8505859375
sum loss 10432.73828125
sum loss 10475.5966796875
sum loss 10451.11328125
sum loss 10458.404296875
sum loss 10397.1220703125
sum loss 10423.8408203125
sum loss 10442.390625
sum loss 10444.05078125
sum loss 10412.21875
sum loss 10457.3095703125
sum loss 10481.697265625
sum loss 10451.6669921875
sum loss 10507.880859375
sum loss 10434.9111328125
sum loss 10439.6962890625
sum loss 10413.18359375
sum loss 10433.466796875
sum loss 10448.8193359375
sum loss 10499.44921875
sum loss 10458.693359375
sum loss 10490.1083984375
sum loss 10445.6298828125
sum loss 10477.587890625
