----------------- GPT2_czech_XL ------ DatasetType.BASELINE ----------------
cuda available.
EPOCH 0 started==============================
sum loss 14564.5419921875
sum loss 13280.0029296875
sum loss 13019.0380859375
sum loss 13014.701171875
sum loss 12789.2548828125
sum loss 12837.8623046875
sum loss 12812.9267578125
sum loss 12823.7822265625
sum loss 12828.8154296875
sum loss 12775.7099609375
sum loss 12870.4833984375
sum loss 12867.6923828125
sum loss 12832.2060546875
sum loss 12791.0205078125
sum loss 12802.74609375
sum loss 12759.8857421875
sum loss 12776.603515625
sum loss 12826.3115234375
sum loss 12732.8037109375
sum loss 12857.140625
sum loss 12826.564453125
sum loss 12782.8095703125
sum loss 12801.080078125
sum loss 12818.7421875
EPOCH 1 started==============================
sum loss 12717.181640625
sum loss 12658.466796875
sum loss 12675.7275390625
sum loss 12676.4033203125
sum loss 12719.2158203125
sum loss 12773.6298828125
sum loss 12748.412109375
sum loss 12696.08984375
sum loss 12817.591796875
sum loss 12736.3955078125
sum loss 12733.7099609375
sum loss 12697.0791015625
sum loss 12671.9130859375
sum loss 12665.0068359375
sum loss 12770.3994140625
sum loss 12743.859375
sum loss 12675.2783203125
sum loss 12702.7685546875
sum loss 12695.5146484375
sum loss 12675.36328125
sum loss 12747.0556640625
sum loss 12637.3271484375
sum loss 12703.9599609375
sum loss 12702.169921875
EPOCH 2 started==============================
sum loss 12731.84375
sum loss 12688.294921875
sum loss 12708.0439453125
sum loss 12708.0009765625
sum loss 12625.548828125
sum loss 12704.0322265625
sum loss 12729.9970703125
sum loss 12638.2734375
sum loss 12723.0849609375
sum loss 12690.1845703125
sum loss 12776.2705078125
sum loss 12687.71875
sum loss 12701.2861328125
sum loss 12667.4521484375
sum loss 12703.87890625
sum loss 12753.1669921875
sum loss 12817.4130859375
sum loss 12705.076171875
sum loss 12704.1376953125
sum loss 12747.74609375
sum loss 12702.458984375
sum loss 12758.107421875
sum loss 12715.029296875
sum loss 12757.4248046875
EPOCH 3 started==============================
sum loss 12699.044921875
sum loss 12777.70703125
sum loss 12716.052734375
sum loss 12680.75
sum loss 12636.662109375
sum loss 12667.541015625
sum loss 12716.951171875
sum loss 12742.9384765625
sum loss 12649.173828125
sum loss 12672.052734375
sum loss 12697.3828125
sum loss 12679.205078125
sum loss 12659.111328125
sum loss 12756.0595703125
sum loss 12733.5498046875
sum loss 12744.1337890625
sum loss 12791.4833984375
sum loss 12736.791015625
sum loss 12785.021484375
sum loss 12712.40625
sum loss 12738.3212890625
sum loss 12670.58203125
sum loss 12721.857421875
sum loss 12724.3330078125
EPOCH 4 started==============================
sum loss 12636.9833984375
sum loss 12656.923828125
sum loss 12729.990234375
sum loss 12642.615234375
sum loss 12711.4375
sum loss 12711.583984375
sum loss 12771.197265625
sum loss 12690.1162109375
sum loss 12692.4072265625
sum loss 12712.2841796875
sum loss 12784.103515625
sum loss 12720.103515625
sum loss 12767.0439453125
sum loss 12729.7666015625
sum loss 12687.4345703125
sum loss 12747.66796875
sum loss 12719.6435546875
sum loss 12680.091796875
sum loss 12724.2060546875
sum loss 12736.6708984375
sum loss 12634.7119140625
sum loss 12759.658203125
sum loss 12747.55859375
sum loss 12694.349609375
sum loss 12624.640625
