----------------- GPT2_czech_XL ------ DatasetType.SYLLABLES ----------------
cuda available.
EPOCH 0 started==============================
sum loss 12322.5771484375
sum loss 10055.3037109375
sum loss 9632.0556640625
sum loss 9420.3896484375
sum loss 9336.736328125
sum loss 9247.45703125
sum loss 9286.8125
sum loss 9319.2734375
sum loss 9314.5888671875
sum loss 9266.119140625
sum loss 9315.005859375
sum loss 9275.8779296875
sum loss 9330.875
sum loss 9288.169921875
sum loss 9301.470703125
sum loss 9289.423828125
sum loss 9339.3828125
sum loss 9245.5556640625
sum loss 9296.4521484375
sum loss 9292.7470703125
sum loss 9264.248046875
sum loss 9349.4150390625
sum loss 9264.8232421875
sum loss 9295.7626953125
EPOCH 1 started==============================
sum loss 9281.1494140625
sum loss 9238.7568359375
sum loss 9226.3662109375
sum loss 9200.4091796875
sum loss 9200.146484375
sum loss 9290.4794921875
sum loss 9256.990234375
sum loss 9295.1787109375
sum loss 9241.830078125
sum loss 9234.08203125
sum loss 9227.822265625
sum loss 9245.5791015625
sum loss 9254.5458984375
sum loss 9208.763671875
sum loss 9232.1162109375
sum loss 9221.7490234375
sum loss 9287.3505859375
sum loss 9178.9794921875
sum loss 9251.6103515625
sum loss 9201.240234375
sum loss 9291.3193359375
sum loss 9250.578125
sum loss 9227.5302734375
sum loss 9232.154296875
EPOCH 2 started==============================
sum loss 9240.4560546875
sum loss 9254.2890625
sum loss 9281.79296875
sum loss 9244.8876953125
sum loss 9201.5009765625
sum loss 9229.6494140625
sum loss 9200.064453125
sum loss 9205.14453125
sum loss 9236.62109375
sum loss 9214.4814453125
sum loss 9264.79296875
sum loss 9281.1689453125
sum loss 9242.109375
sum loss 9271.8544921875
sum loss 9225.5380859375
sum loss 9205.0673828125
sum loss 9293.03515625
sum loss 9241.119140625
sum loss 9213.962890625
sum loss 9214.7353515625
sum loss 9247.83203125
sum loss 9249.7705078125
sum loss 9240.775390625
sum loss 9231.8232421875
EPOCH 3 started==============================
sum loss 9249.9404296875
sum loss 9194.2587890625
sum loss 9263.310546875
sum loss 9270.3310546875
sum loss 9220.33984375
sum loss 9221.427734375
sum loss 9274.017578125
sum loss 9217.279296875
sum loss 9202.0654296875
sum loss 9275.8359375
sum loss 9272.09765625
sum loss 9261.4248046875
sum loss 9235.0634765625
sum loss 9258.568359375
sum loss 9260.2060546875
sum loss 9210.859375
sum loss 9242.7939453125
sum loss 9281.6435546875
sum loss 9275.8154296875
sum loss 9247.361328125
sum loss 9276.0751953125
sum loss 9219.728515625
sum loss 9237.580078125
sum loss 9182.34765625
EPOCH 4 started==============================
sum loss 9225.1552734375
sum loss 9231.27734375
sum loss 9258.5546875
sum loss 9214.5478515625
sum loss 9256.0537109375
sum loss 9225.8056640625
sum loss 9185.2705078125
sum loss 9218.826171875
sum loss 9260.52734375
sum loss 9256.7666015625
sum loss 9279.9423828125
sum loss 9205.96875
sum loss 9262.6982421875
sum loss 9225.9580078125
sum loss 9272.013671875
sum loss 9237.50390625
sum loss 9174.130859375
sum loss 9247.0576171875
sum loss 9230.580078125
sum loss 9233.0283203125
sum loss 9219.607421875
sum loss 9274.080078125
sum loss 9242.654296875
sum loss 9269.087890625
sum loss 9267.71484375
