----------------- GPT2_czech_XL ------ DatasetType.END_OF_LINES ----------------
cuda available.
EPOCH 0 started==============================
sum loss 15410.9755859375
sum loss 11724.671875
sum loss 10847.7236328125
sum loss 10421.591796875
sum loss 10245.0361328125
sum loss 10176.427734375
sum loss 10122.19921875
sum loss 10086.091796875
sum loss 10139.1630859375
sum loss 10151.099609375
sum loss 10185.1611328125
sum loss 10120.333984375
sum loss 10066.140625
sum loss 10158.1259765625
sum loss 10121.0751953125
sum loss 10061.9052734375
sum loss 10145.72265625
sum loss 10158.75
sum loss 10089.0078125
sum loss 10116.9833984375
sum loss 10186.4853515625
sum loss 10087.3310546875
sum loss 10132.087890625
sum loss 10141.0087890625
EPOCH 1 started==============================
sum loss 10077.1171875
sum loss 10131.537109375
sum loss 10089.7744140625
sum loss 10036.7626953125
sum loss 10064.736328125
sum loss 10059.1279296875
sum loss 10017.046875
sum loss 10104.1943359375
sum loss 10065.1455078125
sum loss 10072.5078125
sum loss 10060.7392578125
sum loss 10109.630859375
sum loss 10020.017578125
sum loss 10101.8125
sum loss 10041.060546875
sum loss 10062.9140625
sum loss 10075.2412109375
sum loss 10090.9404296875
sum loss 10073.9404296875
sum loss 10104.943359375
sum loss 10064.85546875
sum loss 10130.2470703125
sum loss 10071.2783203125
sum loss 10021.546875
EPOCH 2 started==============================
sum loss 10023.912109375
sum loss 10046.974609375
sum loss 10114.7314453125
sum loss 10026.9716796875
sum loss 10044.7265625
sum loss 10110.0830078125
sum loss 10128.6767578125
sum loss 10075.1923828125
sum loss 10086.3974609375
sum loss 10016.5087890625
sum loss 10043.15234375
sum loss 10072.1552734375
sum loss 10107.375
sum loss 10041.3017578125
sum loss 10059.5380859375
sum loss 10107.7861328125
sum loss 10134.9072265625
sum loss 10107.7119140625
sum loss 10035.77734375
sum loss 10079.5537109375
sum loss 10063.4736328125
sum loss 10037.83984375
sum loss 10081.30078125
sum loss 10041.0859375
EPOCH 3 started==============================
sum loss 10063.4697265625
sum loss 10039.2158203125
sum loss 10088.546875
sum loss 10060.697265625
sum loss 10071.26953125
sum loss 10092.326171875
sum loss 10048.0419921875
sum loss 10111.26953125
sum loss 10123.6123046875
sum loss 10073.0693359375
sum loss 10047.40234375
sum loss 10063.138671875
sum loss 10070.03125
sum loss 10010.6875
sum loss 10056.8740234375
sum loss 10103.7021484375
sum loss 10150.4091796875
sum loss 10077.2744140625
sum loss 10046.8408203125
sum loss 10099.103515625
sum loss 10049.3671875
sum loss 10038.697265625
sum loss 10043.7822265625
sum loss 10035.8828125
EPOCH 4 started==============================
sum loss 10041.5205078125
sum loss 10050.33984375
sum loss 10070.4873046875
sum loss 10044.5791015625
sum loss 10104.47265625
sum loss 10059.9375
sum loss 10086.0087890625
sum loss 10036.47265625
sum loss 10159.099609375
sum loss 10106.2490234375
sum loss 10087.72265625
sum loss 10080.189453125
sum loss 10058.6328125
sum loss 10037.1279296875
sum loss 10103.953125
sum loss 10052.3603515625
sum loss 10077.3349609375
sum loss 10067.9267578125
sum loss 10041.388671875
sum loss 10064.291015625
sum loss 10029.677734375
sum loss 10035.5234375
sum loss 10106.7392578125
sum loss 10099.6787109375
sum loss 10079.16796875
