----------------- GPT2_czech_XL ------ DatasetType.SYLLABLES_AND_WORDS ----------------
cuda available.
EPOCH 0 started==============================
sum loss 13399.6455078125
sum loss 10758.9892578125
sum loss 10192.294921875
sum loss 9897.22265625
sum loss 9822.412109375
sum loss 9671.982421875
sum loss 9722.5439453125
sum loss 9656.095703125
sum loss 9718.9736328125
sum loss 9763.0673828125
sum loss 9754.0439453125
sum loss 9676.978515625
sum loss 9723.884765625
sum loss 9695.2998046875
sum loss 9731.7041015625
sum loss 9729.8876953125
sum loss 9695.107421875
sum loss 9690.1474609375
sum loss 9648.2333984375
sum loss 9729.1416015625
sum loss 9703.28125
sum loss 9643.9990234375
sum loss 9696.6943359375
sum loss 9743.8740234375
EPOCH 1 started==============================
sum loss 9692.9326171875
sum loss 9642.1904296875
sum loss 9695.55078125
sum loss 9651.9697265625
sum loss 9671.3134765625
sum loss 9622.501953125
sum loss 9660.3740234375
sum loss 9623.314453125
sum loss 9692.0927734375
sum loss 9735.19140625
sum loss 9620.1328125
sum loss 9608.1748046875
sum loss 9639.3603515625
sum loss 9656.39453125
sum loss 9710.5654296875
sum loss 9669.015625
sum loss 9643.5
sum loss 9671.3857421875
sum loss 9603.166015625
sum loss 9642.9873046875
sum loss 9663.4501953125
sum loss 9679.3349609375
sum loss 9658.341796875
sum loss 9632.4326171875
EPOCH 2 started==============================
sum loss 9669.0634765625
sum loss 9643.66796875
sum loss 9646.06640625
sum loss 9636.890625
sum loss 9661.4921875
sum loss 9681.5068359375
sum loss 9708.306640625
sum loss 9699.1142578125
sum loss 9633.7763671875
sum loss 9657.12109375
sum loss 9674.1884765625
sum loss 9708.734375
sum loss 9646.3740234375
sum loss 9653.412109375
sum loss 9621.9658203125
sum loss 9607.798828125
sum loss 9676.78125
sum loss 9672.1259765625
sum loss 9656.373046875
sum loss 9665.1259765625
sum loss 9623.251953125
sum loss 9610.3359375
sum loss 9627.2138671875
sum loss 9673.1767578125
EPOCH 3 started==============================
sum loss 9687.001953125
sum loss 9659.34375
sum loss 9690.435546875
sum loss 9666.2587890625
sum loss 9692.9619140625
sum loss 9665.650390625
sum loss 9645.4775390625
sum loss 9651.998046875
sum loss 9620.2744140625
sum loss 9632.904296875
sum loss 9675.3330078125
sum loss 9650.0146484375
sum loss 9708.4365234375
sum loss 9671.50390625
sum loss 9628.8251953125
sum loss 9688.7294921875
sum loss 9636.2412109375
sum loss 9609.1669921875
sum loss 9636.666015625
sum loss 9669.232421875
sum loss 9622.0634765625
sum loss 9591.6806640625
sum loss 9642.763671875
sum loss 9670.2578125
EPOCH 4 started==============================
sum loss 9712.0146484375
sum loss 9605.3701171875
sum loss 9624.6669921875
sum loss 9655.1787109375
sum loss 9631.0849609375
sum loss 9644.3896484375
sum loss 9705.3798828125
sum loss 9723.2294921875
sum loss 9636.068359375
sum loss 9679.39453125
sum loss 9672.3935546875
sum loss 9651.6357421875
sum loss 9567.4326171875
sum loss 9663.517578125
sum loss 9635.5546875
sum loss 9675.2138671875
sum loss 9655.880859375
sum loss 9667.65625
sum loss 9679.08984375
sum loss 9703.154296875
sum loss 9643.552734375
sum loss 9669.2177734375
sum loss 9664.1279296875
sum loss 9670.9052734375
sum loss 9635.640625
