----------------- GPT2_czech_XL ------ DatasetType.SYLLABLES_AND_ENDS ----------------
cuda available.
EPOCH 0 started==============================
sum loss 12767.63671875
sum loss 9365.0205078125
sum loss 8751.173828125
sum loss 8404.732421875
sum loss 8199.1875
sum loss 8166.86865234375
sum loss 8133.24169921875
sum loss 8167.51708984375
sum loss 8161.67724609375
sum loss 8174.1943359375
sum loss 8113.00830078125
sum loss 8164.69140625
sum loss 8162.5546875
sum loss 8103.26513671875
sum loss 8189.099609375
sum loss 8180.75048828125
sum loss 8123.23095703125
sum loss 8139.0322265625
sum loss 8125.0849609375
sum loss 8107.8359375
sum loss 8143.55078125
sum loss 8185.861328125
sum loss 8104.072265625
sum loss 8153.3642578125
EPOCH 1 started==============================
sum loss 8106.93310546875
sum loss 8098.7119140625
sum loss 8063.83837890625
sum loss 8110.44287109375
sum loss 8103.447265625
sum loss 8134.513671875
sum loss 8095.05712890625
sum loss 8102.7041015625
sum loss 8131.037109375
sum loss 8078.1416015625
sum loss 8116.2890625
sum loss 8090.71826171875
sum loss 8118.42822265625
sum loss 8113.890625
sum loss 8104.7109375
sum loss 8110.6796875
sum loss 8097.15380859375
sum loss 8097.70458984375
sum loss 8102.4892578125
sum loss 8106.19775390625
sum loss 8109.478515625
sum loss 8125.67919921875
sum loss 8077.09765625
sum loss 8128.92578125
EPOCH 2 started==============================
sum loss 8121.486328125
sum loss 8108.73193359375
sum loss 8152.60107421875
sum loss 8074.24658203125
sum loss 8141.85498046875
sum loss 8128.4794921875
sum loss 8145.1318359375
sum loss 8051.283203125
sum loss 8124.98876953125
sum loss 8126.830078125
sum loss 8085.09423828125
sum loss 8118.19873046875
sum loss 8068.16845703125
sum loss 8061.591796875
sum loss 8127.267578125
sum loss 8081.16259765625
sum loss 8131.876953125
sum loss 8077.13330078125
sum loss 8106.58984375
sum loss 8103.9375
sum loss 8102.185546875
sum loss 8078.2314453125
sum loss 8088.88916015625
sum loss 8138.6298828125
EPOCH 3 started==============================
sum loss 8121.44873046875
sum loss 8116.88134765625
sum loss 8128.74658203125
sum loss 8085.28564453125
sum loss 8129.7587890625
sum loss 8091.2373046875
sum loss 8105.41552734375
sum loss 8097.2431640625
sum loss 8069.99365234375
sum loss 8097.626953125
sum loss 8093.92529296875
sum loss 8098.77685546875
sum loss 8091.77685546875
sum loss 8135.6796875
sum loss 8113.12646484375
sum loss 8124.52783203125
sum loss 8106.8623046875
sum loss 8145.09912109375
sum loss 8058.65380859375
sum loss 8120.95947265625
sum loss 8100.3359375
sum loss 8120.35595703125
sum loss 8091.8115234375
sum loss 8114.08251953125
EPOCH 4 started==============================
sum loss 8126.044921875
sum loss 8078.0107421875
sum loss 8039.912109375
sum loss 8124.89306640625
sum loss 8126.5126953125
sum loss 8096.00537109375
sum loss 8114.79443359375
sum loss 8076.4736328125
sum loss 8123.87255859375
sum loss 8067.0859375
sum loss 8125.1767578125
sum loss 8119.83935546875
sum loss 8115.9384765625
sum loss 8126.513671875
sum loss 8065.5078125
sum loss 8077.03271484375
sum loss 8128.716796875
sum loss 8109.58740234375
sum loss 8133.4169921875
sum loss 8112.990234375
sum loss 8093.27001953125
sum loss 8128.15576171875
sum loss 8168.1298828125
sum loss 8130.19873046875
sum loss 8083.07568359375
