----------------- tinyLlama ------ DatasetType.CHARACTERISTIC_WORDS ----------------
cuda available.
EPOCH 0 started==============================
sum loss 8622.923828125
sum loss 7605.3544921875
sum loss 7431.201171875
sum loss 7322.96240234375
sum loss 7299.2119140625
sum loss 7246.94970703125
sum loss 7197.99560546875
sum loss 7233.22265625
sum loss 7279.38720703125
sum loss 7207.12646484375
sum loss 7255.8369140625
sum loss 7253.6259765625
sum loss 7262.93017578125
sum loss 7257.04443359375
sum loss 7221.09375
sum loss 7227.8525390625
sum loss 7241.31103515625
sum loss 7217.17431640625
sum loss 7200.11376953125
sum loss 7251.51123046875
sum loss 7228.09521484375
sum loss 7250.31591796875
sum loss 7245.7646484375
sum loss 7188.9169921875
EPOCH 1 started==============================
sum loss 7172.400390625
sum loss 7107.49267578125
sum loss 7099.8994140625
sum loss 7101.68310546875
sum loss 7089.4296875
sum loss 7104.2763671875
sum loss 7120.84033203125
sum loss 7088.67822265625
sum loss 7104.01318359375
sum loss 7091.55029296875
sum loss 7074.30810546875
sum loss 7087.29150390625
sum loss 7114.5087890625
sum loss 7128.9658203125
sum loss 7089.78759765625
sum loss 7106.9130859375
sum loss 7100.6767578125
sum loss 7088.38427734375
sum loss 7111.06103515625
sum loss 7081.48291015625
sum loss 7148.10888671875
sum loss 7111.544921875
sum loss 7092.81396484375
sum loss 7072.26904296875
EPOCH 2 started==============================
sum loss 7092.734375
sum loss 7089.31689453125
sum loss 7111.63671875
sum loss 7119.73828125
sum loss 7094.53466796875
sum loss 7133.564453125
sum loss 7077.1337890625
sum loss 7143.22607421875
sum loss 7075.47216796875
sum loss 7074.822265625
sum loss 7135.70849609375
sum loss 7093.5732421875
sum loss 7083.37109375
sum loss 7164.55859375
sum loss 7080.37109375
sum loss 7137.6015625
sum loss 7133.5498046875
sum loss 7117.71533203125
sum loss 7141.5166015625
sum loss 7082.37841796875
sum loss 7048.47216796875
sum loss 7101.853515625
sum loss 7072.4189453125
sum loss 7069.06884765625
EPOCH 3 started==============================
sum loss 7100.80712890625
sum loss 7134.177734375
sum loss 7081.1962890625
sum loss 7123.58740234375
sum loss 7074.61328125
sum loss 7098.47216796875
sum loss 7160.05126953125
sum loss 7068.76611328125
sum loss 7103.017578125
sum loss 7086.89697265625
sum loss 7077.453125
sum loss 7113.7255859375
sum loss 7083.826171875
sum loss 7078.01806640625
sum loss 7087.60986328125
sum loss 7099.22216796875
sum loss 7065.9677734375
sum loss 7166.31201171875
sum loss 7153.47607421875
sum loss 7097.279296875
sum loss 7126.1611328125
sum loss 7060.76171875
sum loss 7059.9248046875
sum loss 7085.36865234375
EPOCH 4 started==============================
sum loss 7140.6875
sum loss 7104.86962890625
sum loss 7092.0390625
sum loss 7122.083984375
sum loss 7090.498046875
sum loss 7076.34228515625
sum loss 7065.78466796875
sum loss 7142.65087890625
sum loss 7110.302734375
sum loss 7156.46142578125
sum loss 7114.6171875
sum loss 7091.73388671875
sum loss 7120.25439453125
sum loss 7102.49755859375
sum loss 7122.4130859375
sum loss 7080.03173828125
sum loss 7138.39453125
sum loss 7077.03515625
sum loss 7071.6513671875
sum loss 7086.068359375
sum loss 7122.24951171875
sum loss 7085.59716796875
sum loss 7076.1669921875
sum loss 7086.1767578125
sum loss 7111.33984375
