----------------- tinyLlama ------ DatasetType.ENDS_AND_WORDS ----------------
cuda available.
EPOCH 0 started==============================
sum loss 9960.271484375
sum loss 8215.7548828125
sum loss 7887.20654296875
sum loss 7758.97705078125
sum loss 7670.14111328125
sum loss 7616.51220703125
sum loss 7675.0947265625
sum loss 7616.130859375
sum loss 7631.25048828125
sum loss 7592.8701171875
sum loss 7601.02685546875
sum loss 7624.20654296875
sum loss 7634.75390625
sum loss 7645.091796875
sum loss 7617.33349609375
sum loss 7654.32275390625
sum loss 7645.07763671875
sum loss 7590.76513671875
sum loss 7617.796875
sum loss 7630.92822265625
sum loss 7612.07275390625
sum loss 7574.25927734375
sum loss 7611.18505859375
sum loss 7603.41796875
EPOCH 1 started==============================
sum loss 7498.67626953125
sum loss 7499.7451171875
sum loss 7492.349609375
sum loss 7528.44677734375
sum loss 7489.9921875
sum loss 7455.5810546875
sum loss 7478.60498046875
sum loss 7541.796875
sum loss 7484.86328125
sum loss 7497.71484375
sum loss 7514.25927734375
sum loss 7487.59130859375
sum loss 7491.47802734375
sum loss 7563.28759765625
sum loss 7530.4677734375
sum loss 7439.47021484375
sum loss 7482.4013671875
sum loss 7511.92919921875
sum loss 7475.849609375
sum loss 7492.98974609375
sum loss 7496.48974609375
sum loss 7475.84814453125
sum loss 7499.9423828125
sum loss 7475.00244140625
EPOCH 2 started==============================
sum loss 7460.1982421875
sum loss 7526.9892578125
sum loss 7459.32861328125
sum loss 7489.0068359375
sum loss 7414.43310546875
sum loss 7485.365234375
sum loss 7434.8017578125
sum loss 7505.14111328125
sum loss 7499.5771484375
sum loss 7515.02978515625
sum loss 7476.31689453125
sum loss 7558.82080078125
sum loss 7506.017578125
sum loss 7467.6396484375
sum loss 7485.169921875
sum loss 7513.1259765625
sum loss 7514.8818359375
sum loss 7502.9609375
sum loss 7492.0400390625
sum loss 7453.57763671875
sum loss 7506.6064453125
sum loss 7505.025390625
sum loss 7498.88818359375
sum loss 7526.52099609375
EPOCH 3 started==============================
sum loss 7531.7548828125
sum loss 7472.69873046875
sum loss 7481.67724609375
sum loss 7505.603515625
sum loss 7513.4541015625
sum loss 7505.4892578125
sum loss 7535.271484375
sum loss 7515.3984375
sum loss 7510.7919921875
sum loss 7493.16455078125
sum loss 7487.56982421875
sum loss 7508.90380859375
sum loss 7512.7734375
sum loss 7480.25634765625
sum loss 7518.91064453125
sum loss 7507.46728515625
sum loss 7504.80419921875
sum loss 7460.24609375
sum loss 7490.04541015625
sum loss 7450.84814453125
sum loss 7465.56640625
sum loss 7518.36865234375
sum loss 7490.11572265625
sum loss 7425.93408203125
EPOCH 4 started==============================
sum loss 7494.57421875
sum loss 7512.75146484375
sum loss 7472.47998046875
sum loss 7457.5888671875
sum loss 7445.75341796875
sum loss 7514.92822265625
sum loss 7536.5771484375
sum loss 7509.08154296875
sum loss 7433.88671875
sum loss 7533.8369140625
sum loss 7498.75244140625
sum loss 7494.7763671875
sum loss 7459.39404296875
sum loss 7530.1484375
sum loss 7527.4267578125
sum loss 7504.39306640625
sum loss 7460.11279296875
sum loss 7462.30859375
sum loss 7459.07861328125
sum loss 7530.46533203125
sum loss 7480.49658203125
sum loss 7518.0322265625
sum loss 7515.9619140625
sum loss 7509.4150390625
sum loss 7498.23291015625
