----------------- GPT2_oscar ------ DatasetType.SYLLABLES ----------------
cuda available.
EPOCH 2 started==============================
sum loss 14801.7763671875
sum loss 12023.4638671875
sum loss 11428.275390625
sum loss 11093.5234375
sum loss 10876.830078125
sum loss 10666.9541015625
sum loss 10697.654296875
sum loss 10671.3359375
sum loss 10767.9189453125
sum loss 10764.7275390625
sum loss 10751.55078125
sum loss 10738.4794921875
sum loss 10753.1904296875
sum loss 10739.7138671875
sum loss 10812.5986328125
sum loss 10808.099609375
sum loss 10758.7431640625
sum loss 10755.2158203125
sum loss 10739.802734375
sum loss 10641.314453125
sum loss 10765.7783203125
sum loss 10688.57421875
sum loss 10747.001953125
sum loss 10792.177734375
EPOCH 3 started==============================
sum loss 10657.7138671875
sum loss 10698.525390625
sum loss 10723.55859375
sum loss 10642.78515625
sum loss 10663.8720703125
sum loss 10623.6484375
sum loss 10687.2978515625
sum loss 10684.1259765625
sum loss 10681.2734375
sum loss 10660.8427734375
sum loss 10748.775390625
sum loss 10739.6015625
sum loss 10605.1279296875
sum loss 10655.0732421875
sum loss 10715.4345703125
sum loss 10626.7109375
sum loss 10705.3310546875
sum loss 10695.306640625
sum loss 10681.5498046875
sum loss 10719.0185546875
sum loss 10700.9326171875
sum loss 10707.7265625
sum loss 10658.7998046875
sum loss 10705.5400390625
EPOCH 4 started==============================
sum loss 10760.3251953125
sum loss 10701.4208984375
sum loss 10668.5576171875
sum loss 10678.3046875
sum loss 10668.4345703125
sum loss 10598.3203125
sum loss 10686.68359375
sum loss 10718.7333984375
sum loss 10692.0546875
sum loss 10687.6005859375
sum loss 10679.015625
sum loss 10691.3994140625
sum loss 10648.5107421875
sum loss 10694.080078125
sum loss 10687.4404296875
sum loss 10735.529296875
sum loss 10642.1025390625
sum loss 10717.4306640625
sum loss 10684.5556640625
sum loss 10690.380859375
sum loss 10665.58203125
sum loss 10705.2646484375
sum loss 10708.02734375
sum loss 10693.5810546875
----------------- GPT2_oscar ------ DatasetType.SYLLABLES ----------------
cuda available.
EPOCH 3 started==============================
sum loss 10685.4755859375
sum loss 10609.515625
sum loss 10535.83203125
sum loss 10456.65234375
sum loss 10421.548828125
sum loss 10328.408203125
sum loss 10395.8017578125
sum loss 10379.1708984375
sum loss 10400.4775390625
sum loss 10400.5703125
sum loss 10364.9912109375
sum loss 10435.3837890625
sum loss 10450.3359375
sum loss 10332.107421875
sum loss 10398.94140625
sum loss 10353.865234375
sum loss 10323.83984375
sum loss 10405.912109375
sum loss 10385.115234375
sum loss 10353.5263671875
sum loss 10374.6318359375
sum loss 10406.0625
sum loss 10386.22265625
sum loss 10398.1669921875
EPOCH 4 started==============================
sum loss 10315.431640625
sum loss 10330.25390625
sum loss 10328.669921875
sum loss 10354.7109375
sum loss 10332.501953125
sum loss 10333.6689453125
sum loss 10300.3828125
sum loss 10348.892578125
sum loss 10330.421875
sum loss 10265.2587890625
sum loss 10315.001953125
sum loss 10258.173828125
sum loss 10398.58203125
sum loss 10377.009765625
sum loss 10277.7412109375
sum loss 10291.9482421875
sum loss 10365.9501953125
sum loss 10343.587890625
sum loss 10299.521484375
sum loss 10305.4287109375
sum loss 10320.2568359375
sum loss 10322.1064453125
sum loss 10374.1171875
sum loss 10238.28515625
