----------------- GPT2_oscar ------ DatasetType.SYLLABLES_AND_WORDS ----------------
cuda available.
EPOCH 0 started==============================
sum loss 15781.9619140625
sum loss 12993.783203125
sum loss 12139.4287109375
sum loss 11640.0009765625
sum loss 11406.462890625
sum loss 11206.7431640625
sum loss 11270.892578125
sum loss 11210.8056640625
sum loss 11284.447265625
sum loss 11263.212890625
sum loss 11269.09765625
sum loss 11302.0634765625
sum loss 11257.7431640625
sum loss 11252.4013671875
sum loss 11299.1884765625
sum loss 11211.78515625
sum loss 11252.3447265625
sum loss 11263.65234375
sum loss 11297.501953125
sum loss 11254.1728515625
sum loss 11222.3837890625
sum loss 11262.171875
sum loss 11267.0439453125
sum loss 11233.2978515625
EPOCH 1 started==============================
sum loss 11199.65234375
sum loss 11227.2099609375
sum loss 11153.767578125
sum loss 11174.869140625
sum loss 11240.2177734375
sum loss 11182.6904296875
sum loss 11239.3681640625
sum loss 11237.0546875
sum loss 11182.3076171875
sum loss 11220.2958984375
sum loss 11255.69140625
sum loss 11208.953125
sum loss 11196.263671875
sum loss 11198.1767578125
sum loss 11242.6953125
sum loss 11197.7861328125
sum loss 11169.5478515625
sum loss 11235.6884765625
sum loss 11203.2919921875
sum loss 11180.5556640625
sum loss 11149.6591796875
sum loss 11129.6162109375
sum loss 11235.6171875
sum loss 11203.078125
EPOCH 2 started==============================
sum loss 11216.57421875
sum loss 11199.8837890625
sum loss 11183.6484375
sum loss 11192.70703125
sum loss 11185.8544921875
sum loss 11243.6318359375
sum loss 11238.5654296875
sum loss 11214.48046875
sum loss 11225.9775390625
sum loss 11185.5517578125
sum loss 11180.3701171875
sum loss 11183.140625
sum loss 11191.0029296875
sum loss 11208.3916015625
sum loss 11201.779296875
sum loss 11259.8330078125
sum loss 11162.486328125
sum loss 11185.1484375
sum loss 11206.1533203125
sum loss 11199.51953125
sum loss 11218.275390625
sum loss 11218.6123046875
sum loss 11229.451171875
sum loss 11184.2919921875
EPOCH 3 started==============================
sum loss 11200.4892578125
sum loss 11239.5810546875
sum loss 11191.27734375
sum loss 11170.017578125
sum loss 11182.7587890625
sum loss 11215.09765625
sum loss 11189.5
sum loss 11263.8056640625
sum loss 11258.037109375
sum loss 11242.23828125
sum loss 11189.8798828125
sum loss 11154.1796875
sum loss 11211.9111328125
sum loss 11175.8271484375
sum loss 11178.3466796875
sum loss 11286.490234375
sum loss 11227.126953125
sum loss 11167.9990234375
sum loss 11198.765625
sum loss 11170.7353515625
sum loss 11181.7919921875
sum loss 11174.8759765625
sum loss 11186.849609375
sum loss 11188.005859375
EPOCH 4 started==============================
sum loss 11244.7509765625
sum loss 11224.6650390625
sum loss 11257.9375
sum loss 11219.8447265625
sum loss 11205.275390625
sum loss 11228.51953125
sum loss 11171.453125
sum loss 11206.41796875
sum loss 11188.5771484375
sum loss 11184.26171875
sum loss 11200.66796875
sum loss 11228.21484375
sum loss 11218.583984375
sum loss 11235.3779296875
sum loss 11161.14453125
sum loss 11151.8515625
sum loss 11209.8369140625
sum loss 11195.4326171875
sum loss 11196.904296875
sum loss 11167.302734375
sum loss 11168.17578125
sum loss 11182.955078125
sum loss 11234.1337890625
sum loss 11226.3408203125
sum loss 11201.8359375
