----------------- GPT2_oscar ------ DatasetType.SYLLABLES_AND_ENDS ----------------
cuda available.
EPOCH 2 started==============================
sum loss 15095.1767578125
sum loss 11678.1181640625
sum loss 10487.810546875
sum loss 9989.19921875
sum loss 9640.0908203125
sum loss 9482.615234375
sum loss 9499.759765625
sum loss 9555.2177734375
sum loss 9488.2705078125
sum loss 9507.83203125
sum loss 9505.564453125
sum loss 9499.560546875
sum loss 9540.2802734375
sum loss 9527.37890625
sum loss 9518.82421875
sum loss 9473.28515625
sum loss 9496.2294921875
sum loss 9529.125
sum loss 9493.31640625
sum loss 9459.853515625
sum loss 9484.6064453125
sum loss 9456.7431640625
sum loss 9476.37890625
sum loss 9501.8583984375
EPOCH 3 started==============================
sum loss 9444.9501953125
sum loss 9424.0048828125
sum loss 9428.388671875
sum loss 9421.9541015625
sum loss 9466.0791015625
sum loss 9481.8779296875
sum loss 9506.158203125
sum loss 9456.984375
sum loss 9482.5234375
sum loss 9486.845703125
sum loss 9462.4453125
sum loss 9465.5673828125
sum loss 9429.888671875
sum loss 9450.8388671875
sum loss 9497.3330078125
sum loss 9490.9365234375
sum loss 9446.8486328125
sum loss 9447.7939453125
sum loss 9473.3349609375
sum loss 9496.876953125
sum loss 9459.267578125
sum loss 9470.83984375
sum loss 9488.1826171875
sum loss 9479.8623046875
EPOCH 4 started==============================
sum loss 9436.7236328125
sum loss 9485.3056640625
sum loss 9425.822265625
sum loss 9526.0517578125
sum loss 9460.2587890625
sum loss 9530.3740234375
sum loss 9482.359375
sum loss 9467.173828125
sum loss 9512.9912109375
sum loss 9432.7646484375
sum loss 9453.1494140625
sum loss 9477.48046875
sum loss 9499.4326171875
sum loss 9425.1689453125
sum loss 9473.837890625
sum loss 9446.8115234375
sum loss 9431.3125
sum loss 9469.546875
sum loss 9460.302734375
sum loss 9451.9677734375
sum loss 9461.365234375
sum loss 9430.208984375
sum loss 9434.861328125
sum loss 9434.4765625
----------------- GPT2_oscar ------ DatasetType.SYLLABLES_AND_ENDS ----------------
cuda available.
EPOCH 3 started==============================
sum loss 9422.712890625
sum loss 9257.646484375
sum loss 9230.44140625
sum loss 9154.654296875
sum loss 8969.25390625
sum loss 8953.5810546875
sum loss 8962.958984375
sum loss 9000.4912109375
sum loss 9025.3994140625
sum loss 8986.205078125
sum loss 8990.9658203125
sum loss 8974.9951171875
sum loss 8939.3525390625
sum loss 8922.8349609375
sum loss 8972.6533203125
sum loss 8948.78125
sum loss 9006.9150390625
sum loss 8923.37890625
sum loss 8927.1806640625
sum loss 8986.140625
sum loss 8978.4306640625
sum loss 8909.4521484375
sum loss 8990.83203125
sum loss 8953.927734375
EPOCH 4 started==============================
sum loss 8927.6015625
sum loss 8906.40625
sum loss 8918.4619140625
sum loss 8952.0625
sum loss 8916.9296875
sum loss 8935.2353515625
sum loss 8953.0390625
sum loss 8939.20703125
sum loss 8884.49609375
sum loss 8921.798828125
sum loss 8902.6064453125
sum loss 8889.900390625
sum loss 8930.7109375
sum loss 8934.7197265625
sum loss 8905.9736328125
sum loss 8893.580078125
sum loss 8867.6708984375
sum loss 8950.1845703125
sum loss 8907.31640625
sum loss 8907.431640625
sum loss 8962.87890625
sum loss 8951.79296875
sum loss 8906.6875
sum loss 8937.7373046875
