----------------- GPT2_oscar ------ DatasetType.ENDS_AND_WORDS ----------------
cuda available.
EPOCH 0 started==============================
sum loss 18272.9765625
sum loss 15055.396484375
sum loss 13843.31640625
sum loss 13133.8671875
sum loss 12721.23828125
sum loss 12573.017578125
sum loss 12564.12890625
sum loss 12487.9921875
sum loss 12564.310546875
sum loss 12534.9619140625
sum loss 12531.544921875
sum loss 12550.4443359375
sum loss 12526.1455078125
sum loss 12519.28515625
sum loss 12557.474609375
sum loss 12447.3056640625
sum loss 12445.0966796875
sum loss 12529.56640625
sum loss 12460.265625
sum loss 12461.5068359375
sum loss 12546.6962890625
sum loss 12511.8447265625
sum loss 12533.8681640625
sum loss 12533.4501953125
EPOCH 1 started==============================
sum loss 12496.3349609375
sum loss 12491.875
sum loss 12466.599609375
sum loss 12496.3134765625
sum loss 12475.6357421875
sum loss 12502.7626953125
sum loss 12441.0546875
sum loss 12487.8056640625
sum loss 12460.6357421875
sum loss 12499.64453125
sum loss 12397.2490234375
sum loss 12414.662109375
sum loss 12457.6005859375
sum loss 12452.806640625
sum loss 12463.404296875
sum loss 12456.3984375
sum loss 12487.5751953125
sum loss 12495.4345703125
sum loss 12461.8056640625
sum loss 12423.81640625
sum loss 12402.4951171875
sum loss 12450.419921875
sum loss 12508.974609375
sum loss 12412.89453125
EPOCH 2 started==============================
sum loss 12475.2177734375
sum loss 12443.46484375
sum loss 12455.115234375
sum loss 12482.3046875
sum loss 12479.0966796875
sum loss 12464.900390625
sum loss 12395.6318359375
sum loss 12461.2822265625
sum loss 12489.7861328125
sum loss 12413.650390625
sum loss 12512.7353515625
sum loss 12355.66015625
sum loss 12451.541015625
sum loss 12497.6904296875
sum loss 12436.4365234375
sum loss 12421.4013671875
sum loss 12458.44140625
sum loss 12453.5625
sum loss 12480.7431640625
sum loss 12504.47265625
sum loss 12519.8564453125
sum loss 12545.3544921875
sum loss 12473.859375
sum loss 12390.6669921875
EPOCH 3 started==============================
sum loss 12411.9833984375
sum loss 12485.9140625
sum loss 12477.6826171875
sum loss 12445.2666015625
sum loss 12493.2236328125
sum loss 12435.5361328125
sum loss 12476.78515625
sum loss 12548.712890625
sum loss 12446.9345703125
sum loss 12461.7099609375
sum loss 12424.537109375
sum loss 12427.87109375
sum loss 12474.416015625
sum loss 12432.4814453125
sum loss 12413.5078125
sum loss 12469.958984375
sum loss 12494.037109375
sum loss 12454.3701171875
sum loss 12474.767578125
sum loss 12452.701171875
sum loss 12443.884765625
sum loss 12466.1318359375
sum loss 12418.2705078125
sum loss 12495.462890625
EPOCH 4 started==============================
sum loss 12484.1552734375
sum loss 12427.724609375
sum loss 12466.17578125
sum loss 12478.654296875
sum loss 12492.1181640625
sum loss 12466.478515625
sum loss 12440.984375
sum loss 12439.5244140625
sum loss 12500.5224609375
sum loss 12459.0390625
sum loss 12478.396484375
sum loss 12485.7421875
sum loss 12469.9638671875
sum loss 12499.728515625
sum loss 12441.669921875
sum loss 12415.0673828125
sum loss 12438.2392578125
sum loss 12442.029296875
sum loss 12496.830078125
sum loss 12511.423828125
sum loss 12442.5830078125
sum loss 12407.9267578125
sum loss 12432.5224609375
sum loss 12492.9580078125
sum loss 12468.6279296875
