----------------- GPT2_oscar ------ DatasetType.FORCED_SYLLABLES ----------------
cuda available.
EPOCH 0 started==============================
sum loss 13316.0478515625
sum loss 9903.3720703125
sum loss 8923.8212890625
sum loss 8346.8544921875
sum loss 7919.2216796875
sum loss 7754.1669921875
sum loss 7775.322265625
sum loss 7787.49609375
sum loss 7815.0634765625
sum loss 7763.00439453125
sum loss 7808.046875
sum loss 7758.365234375
sum loss 7772.84423828125
sum loss 7803.47265625
sum loss 7786.62744140625
sum loss 7773.158203125
sum loss 7782.203125
sum loss 7748.40869140625
sum loss 7788.92626953125
sum loss 7757.435546875
sum loss 7839.900390625
sum loss 7799.04833984375
sum loss 7753.95068359375
sum loss 7774.63330078125
EPOCH 1 started==============================
sum loss 7757.46337890625
sum loss 7754.09765625
sum loss 7778.7119140625
sum loss 7774.86279296875
sum loss 7749.58154296875
sum loss 7759.81640625
sum loss 7769.86767578125
sum loss 7781.333984375
sum loss 7750.9873046875
sum loss 7793.62548828125
sum loss 7766.8310546875
sum loss 7770.8486328125
sum loss 7804.564453125
sum loss 7758.96435546875
sum loss 7782.23291015625
sum loss 7788.10107421875
sum loss 7799.8310546875
sum loss 7807.7001953125
sum loss 7757.14404296875
sum loss 7753.52685546875
sum loss 7772.31689453125
sum loss 7729.65771484375
sum loss 7739.962890625
sum loss 7754.73046875
EPOCH 2 started==============================
sum loss 7778.41064453125
sum loss 7770.00732421875
sum loss 7824.3896484375
sum loss 7752.212890625
sum loss 7788.26220703125
sum loss 7763.2421875
sum loss 7774.2099609375
sum loss 7760.10302734375
sum loss 7764.77197265625
sum loss 7746.17578125
sum loss 7773.64794921875
sum loss 7743.92529296875
sum loss 7781.10400390625
sum loss 7734.3798828125
sum loss 7737.03857421875
sum loss 7772.361328125
sum loss 7780.79052734375
sum loss 7761.19091796875
sum loss 7768.22607421875
sum loss 7799.84814453125
sum loss 7796.66552734375
sum loss 7761.6484375
sum loss 7755.04150390625
sum loss 7733.70751953125
EPOCH 3 started==============================
sum loss 7731.5166015625
sum loss 7800.578125
sum loss 7771.458984375
sum loss 7745.09033203125
sum loss 7763.02783203125
sum loss 7766.37060546875
sum loss 7748.5859375
sum loss 7760.10888671875
sum loss 7796.42578125
sum loss 7773.751953125
sum loss 7747.279296875
sum loss 7749.03662109375
sum loss 7796.2939453125
sum loss 7765.2763671875
sum loss 7797.359375
sum loss 7776.90673828125
sum loss 7806.021484375
sum loss 7754.13916015625
sum loss 7732.63525390625
sum loss 7809.6083984375
sum loss 7737.37548828125
sum loss 7734.62060546875
sum loss 7812.5849609375
sum loss 7735.64501953125
EPOCH 4 started==============================
sum loss 7744.9921875
sum loss 7753.6005859375
sum loss 7793.86572265625
sum loss 7760.99853515625
sum loss 7770.5419921875
sum loss 7729.10400390625
sum loss 7787.26318359375
sum loss 7799.7216796875
sum loss 7794.3662109375
sum loss 7786.3271484375
sum loss 7758.0947265625
sum loss 7757.572265625
sum loss 7787.45703125
sum loss 7770.50048828125
sum loss 7771.04052734375
sum loss 7807.9638671875
sum loss 7790.923828125
sum loss 7753.732421875
sum loss 7750.9111328125
sum loss 7809.1533203125
sum loss 7722.1357421875
sum loss 7742.48388671875
sum loss 7746.3037109375
sum loss 7740.42919921875
sum loss 7749.8671875
