----------------- GPT2_czech_XL ------ DatasetType.CHARACTERISTIC_WORDS ----------------
cuda available.
EPOCH 0 started==============================
sum loss 11790.95703125
sum loss 9704.3349609375
sum loss 9390.7666015625
sum loss 9215.0576171875
sum loss 9075.67578125
sum loss 9100.310546875
sum loss 9099.486328125
sum loss 9058.98828125
sum loss 9081.2978515625
sum loss 9067.5
sum loss 9065.134765625
sum loss 9130.03515625
sum loss 9083.462890625
sum loss 9033.6171875
sum loss 9110.7392578125
sum loss 9104.1337890625
sum loss 9050.2763671875
sum loss 9051.830078125
sum loss 9076.9609375
sum loss 9042.814453125
sum loss 9139.587890625
sum loss 9084.7685546875
sum loss 9048.8212890625
sum loss 9046.685546875
EPOCH 1 started==============================
sum loss 9026.888671875
sum loss 9011.0068359375
sum loss 9045.8310546875
sum loss 9034.138671875
sum loss 9028.412109375
sum loss 9068.8212890625
sum loss 9013.58203125
sum loss 9036.3154296875
sum loss 9003.4169921875
sum loss 8978.83203125
sum loss 9019.5185546875
sum loss 9038.828125
sum loss 9042.44140625
sum loss 9008.876953125
sum loss 8975.3291015625
sum loss 9017.67578125
sum loss 9052.0400390625
sum loss 9105.107421875
sum loss 9004.0712890625
sum loss 8997.1064453125
sum loss 9086.5849609375
sum loss 9073.9658203125
sum loss 9005.61328125
sum loss 9007.46484375
EPOCH 2 started==============================
sum loss 9014.306640625
sum loss 9011.779296875
sum loss 8994.3837890625
sum loss 9045.4462890625
sum loss 9032.5029296875
sum loss 9019.05078125
sum loss 9048.525390625
sum loss 9017.923828125
sum loss 9041.7041015625
sum loss 9099.9423828125
sum loss 9011.7275390625
sum loss 9029.515625
sum loss 9036.2001953125
sum loss 9047.998046875
sum loss 8971.4091796875
sum loss 9058.2470703125
sum loss 9065.2255859375
sum loss 9023.1806640625
sum loss 9021.181640625
sum loss 9006.8955078125
sum loss 9025.7998046875
sum loss 9037.109375
sum loss 9069.4580078125
sum loss 8979.2861328125
EPOCH 3 started==============================
sum loss 9019.4794921875
sum loss 8974.0556640625
sum loss 9093.3779296875
sum loss 9005.3330078125
sum loss 9053.3623046875
sum loss 9024.708984375
sum loss 8966.51171875
sum loss 8995.6064453125
sum loss 9020.6640625
sum loss 9008.201171875
sum loss 8979.4208984375
sum loss 9041.9638671875
sum loss 9001.392578125
sum loss 8978.0712890625
sum loss 9037.2900390625
sum loss 9033.37109375
sum loss 8998.2724609375
sum loss 9050.1875
sum loss 9032.7998046875
sum loss 9057.333984375
sum loss 9109.904296875
sum loss 9093.380859375
sum loss 9045.2138671875
sum loss 9057.794921875
EPOCH 4 started==============================
sum loss 9057.98828125
sum loss 9035.666015625
sum loss 8988.552734375
sum loss 9016.8505859375
sum loss 9031.5283203125
sum loss 9011.09375
sum loss 8995.208984375
sum loss 9025.6904296875
sum loss 9009.4951171875
sum loss 8991.0380859375
sum loss 8963.4072265625
sum loss 9095.427734375
sum loss 9022.9560546875
sum loss 9090.541015625
sum loss 9062.888671875
sum loss 9056.1845703125
sum loss 9063.3759765625
sum loss 9016.439453125
sum loss 9027.3828125
sum loss 9003.4736328125
sum loss 9011.734375
sum loss 9008.1484375
sum loss 9023.568359375
sum loss 9043.8525390625
sum loss 9099.0146484375
