----------------- GPT2_czech_XL ------ DatasetType.ENDS_AND_WORDS ----------------
cuda available.
EPOCH 0 started==============================
sum loss 16013.8447265625
sum loss 12299.109375
sum loss 11324.2783203125
sum loss 10861.0107421875
sum loss 10625.5458984375
sum loss 10511.4326171875
sum loss 10545.1103515625
sum loss 10499.0009765625
sum loss 10481.0517578125
sum loss 10524.865234375
sum loss 10490.6201171875
sum loss 10418.9892578125
sum loss 10499.23046875
sum loss 10523.73828125
sum loss 10524.474609375
sum loss 10522.4267578125
sum loss 10541.83203125
sum loss 10522.0908203125
sum loss 10472.6083984375
sum loss 10512.4990234375
sum loss 10487.7685546875
sum loss 10450.388671875
sum loss 10542.3427734375
sum loss 10505.3857421875
EPOCH 1 started==============================
sum loss 10443.5166015625
sum loss 10418.6728515625
sum loss 10431.7607421875
sum loss 10438.517578125
sum loss 10479.732421875
sum loss 10430.9287109375
sum loss 10475.4423828125
sum loss 10446.4697265625
sum loss 10474.6767578125
sum loss 10497.72265625
sum loss 10453.8134765625
sum loss 10507.0966796875
sum loss 10437.017578125
sum loss 10437.6728515625
sum loss 10440.5166015625
sum loss 10458.494140625
sum loss 10451.5888671875
sum loss 10436.099609375
sum loss 10442.0693359375
sum loss 10442.6884765625
sum loss 10532.1337890625
sum loss 10457.3564453125
sum loss 10442.267578125
sum loss 10490.921875
EPOCH 2 started==============================
sum loss 10425.310546875
sum loss 10458.056640625
sum loss 10438.1826171875
sum loss 10488.0224609375
sum loss 10434.75
sum loss 10458.5205078125
sum loss 10484.474609375
sum loss 10415.7666015625
sum loss 10449.6533203125
sum loss 10497.0615234375
sum loss 10433.8525390625
sum loss 10450.7265625
sum loss 10416.00390625
sum loss 10430.9130859375
sum loss 10453.8818359375
sum loss 10457.935546875
sum loss 10443.2392578125
sum loss 10460.482421875
sum loss 10431.27734375
sum loss 10396.181640625
sum loss 10462.388671875
sum loss 10443.7470703125
sum loss 10523.9736328125
sum loss 10478.7587890625
EPOCH 3 started==============================
sum loss 10478.6845703125
sum loss 10440.4296875
sum loss 10482.0810546875
sum loss 10490.083984375
sum loss 10392.384765625
sum loss 10402.703125
sum loss 10434.275390625
sum loss 10403.38671875
sum loss 10457.4912109375
sum loss 10448.779296875
sum loss 10467.0703125
sum loss 10467.7734375
sum loss 10449.9970703125
sum loss 10436.521484375
sum loss 10427.712890625
sum loss 10424.8388671875
sum loss 10516.3271484375
sum loss 10490.248046875
sum loss 10391.724609375
sum loss 10491.7958984375
sum loss 10484.83203125
sum loss 10414.5732421875
sum loss 10498.8583984375
sum loss 10470.958984375
EPOCH 4 started==============================
sum loss 10489.4208984375
sum loss 10459.7333984375
sum loss 10440.6435546875
sum loss 10436.9189453125
sum loss 10469.005859375
sum loss 10503.986328125
sum loss 10431.0615234375
sum loss 10453.2744140625
sum loss 10431.267578125
sum loss 10400.4189453125
sum loss 10477.525390625
sum loss 10459.9970703125
sum loss 10425.5419921875
sum loss 10426.2001953125
sum loss 10487.9130859375
sum loss 10478.341796875
sum loss 10459.2490234375
sum loss 10467.177734375
sum loss 10499.181640625
sum loss 10491.6591796875
sum loss 10458.5751953125
sum loss 10462.734375
sum loss 10418.45703125
sum loss 10427.162109375
sum loss 10459.85546875
