----------------- tinyLlama ------ DatasetType.SYLLABLES ----------------
cuda available.
----------------- tinyLlama ------ DatasetType.SYLLABLES ----------------
cuda available.
EPOCH 2 started==============================
sum loss 8372.052734375
sum loss 7414.47216796875
sum loss 7287.7666015625
sum loss 7164.6328125
sum loss 7109.79443359375
sum loss 7107.07373046875
sum loss 7075.8291015625
sum loss 7135.96044921875
sum loss 7061.14111328125
sum loss 7106.73486328125
sum loss 7079.4794921875
sum loss 7056.80419921875
sum loss 7124.7265625
sum loss 7102.5234375
sum loss 7025.06982421875
sum loss 7121.11181640625
sum loss 7124.0771484375
sum loss 7100.61083984375
sum loss 7095.82763671875
sum loss 7086.51025390625
sum loss 7100.95654296875
sum loss 7066.6279296875
sum loss 7054.4287109375
sum loss 7088.4228515625
EPOCH 3 started==============================
sum loss 6999.7646484375
sum loss 6997.4404296875
sum loss 6979.52880859375
sum loss 6981.26025390625
sum loss 6918.830078125
sum loss 6967.47216796875
sum loss 6967.50439453125
sum loss 6912.931640625
sum loss 6926.271484375
sum loss 6995.302734375
sum loss 7001.5244140625
sum loss 6968.86572265625
sum loss 7014.0302734375
sum loss 6937.00146484375
sum loss 6950.00537109375
sum loss 6953.90625
sum loss 7001.57861328125
sum loss 6971.4169921875
sum loss 6989.86376953125
sum loss 6983.1728515625
sum loss 6956.20849609375
sum loss 6956.33203125
sum loss 6938.7705078125
sum loss 6961.357421875
EPOCH 4 started==============================
sum loss 6978.44580078125
sum loss 6965.24365234375
sum loss 6951.9365234375
sum loss 6968.009765625
sum loss 6972.47900390625
sum loss 7000.95556640625
sum loss 6986.09814453125
sum loss 6946.8505859375
sum loss 6969.06005859375
sum loss 6980.56689453125
sum loss 6966.87109375
sum loss 6910.06689453125
sum loss 6985.4677734375
sum loss 6983.40234375
sum loss 6981.19482421875
sum loss 6914.76708984375
sum loss 6951.8310546875
sum loss 6995.1552734375
sum loss 7002.53173828125
sum loss 6962.05712890625
sum loss 6964.52294921875
sum loss 6964.15380859375
sum loss 6991.3046875
sum loss 6933.5458984375
----------------- tinyLlama ------ DatasetType.SYLLABLES ----------------
cuda available.
EPOCH 3 started==============================
sum loss 6799.01904296875
sum loss 6685.14013671875
sum loss 6696.1640625
sum loss 6785.6689453125
sum loss 6785.35009765625
sum loss 6838.654296875
sum loss 6760.611328125
sum loss 6835.72998046875
sum loss 6824.9794921875
sum loss 6856.16357421875
sum loss 6778.07470703125
sum loss 6827.5693359375
sum loss 6794.3134765625
sum loss 6825.20458984375
sum loss 6838.17529296875
sum loss 6801.22314453125
sum loss 6843.51171875
sum loss 6804.0380859375
sum loss 6799.783203125
sum loss 6848.50537109375
sum loss 6804.92529296875
sum loss 6791.8369140625
sum loss 6848.8173828125
sum loss 6806.2998046875
EPOCH 4 started==============================
sum loss 6696.52880859375
sum loss 6678.08056640625
sum loss 6645.80126953125
sum loss 6643.37109375
sum loss 6680.20751953125
sum loss 6685.84619140625
sum loss 6702.27392578125
sum loss 6651.45166015625
sum loss 6698.443359375
sum loss 6669.86572265625
sum loss 6670.46875
sum loss 6663.0986328125
sum loss 6673.64990234375
sum loss 6647.09228515625
sum loss 6611.58935546875
sum loss 6693.7021484375
sum loss 6661.4501953125
sum loss 6693.35595703125
sum loss 6671.96875
sum loss 6588.75537109375
sum loss 6658.1806640625
sum loss 6644.8740234375
sum loss 6664.517578125
sum loss 6710.68798828125
