----------------- tinyLlama ------ DatasetType.SYLLABLES_AND_WORDS ----------------
cuda available.
EPOCH 0 started==============================
sum loss 8592.9248046875
sum loss 7446.8447265625
sum loss 7266.58984375
sum loss 7141.3505859375
sum loss 7036.35791015625
sum loss 6998.89501953125
sum loss 7041.24365234375
sum loss 7042.8271484375
sum loss 7038.552734375
sum loss 7043.509765625
sum loss 7010.3935546875
sum loss 7052.0029296875
sum loss 7083.57373046875
sum loss 7028.142578125
sum loss 7026.46533203125
sum loss 7026.8076171875
sum loss 7016.8466796875
sum loss 7015.07275390625
sum loss 7033.71142578125
sum loss 7058.921875
sum loss 7034.35009765625
sum loss 7066.39697265625
sum loss 7059.9443359375
sum loss 7042.93115234375
EPOCH 1 started==============================
sum loss 6956.8994140625
sum loss 6931.61328125
sum loss 6871.861328125
sum loss 6953.21923828125
sum loss 6940.38671875
sum loss 6905.453125
sum loss 6940.21240234375
sum loss 6904.15625
sum loss 6919.51708984375
sum loss 6941.8193359375
sum loss 6939.93603515625
sum loss 6893.970703125
sum loss 6900.59423828125
sum loss 6908.03955078125
sum loss 6897.337890625
sum loss 6909.78173828125
sum loss 6891.81787109375
sum loss 6921.73974609375
sum loss 6884.7802734375
sum loss 6917.38427734375
sum loss 6916.15283203125
sum loss 6894.77734375
sum loss 6960.02685546875
sum loss 6906.40283203125
EPOCH 2 started==============================
sum loss 6960.7568359375
sum loss 6936.93994140625
sum loss 6938.390625
sum loss 6943.30712890625
sum loss 6953.09765625
sum loss 6916.0302734375
sum loss 6903.9462890625
sum loss 6867.140625
sum loss 6935.7578125
sum loss 6902.1650390625
sum loss 6919.52392578125
sum loss 6925.38037109375
sum loss 6894.525390625
sum loss 6901.8603515625
sum loss 6927.76953125
sum loss 6890.04443359375
sum loss 6913.65771484375
sum loss 6922.4814453125
sum loss 6923.3857421875
sum loss 6937.72119140625
sum loss 6895.99951171875
sum loss 6924.65087890625
sum loss 6930.2421875
sum loss 6908.078125
EPOCH 3 started==============================
sum loss 6898.5654296875
sum loss 6909.34033203125
sum loss 6919.994140625
sum loss 6922.39111328125
sum loss 6877.611328125
sum loss 6953.439453125
sum loss 6893.82177734375
sum loss 6905.650390625
sum loss 6926.79443359375
sum loss 6958.98779296875
sum loss 6902.58935546875
sum loss 6924.0390625
sum loss 6941.91455078125
sum loss 6938.853515625
sum loss 6926.06396484375
sum loss 6922.240234375
sum loss 6919.88037109375
sum loss 6951.921875
sum loss 6867.2109375
sum loss 6916.5751953125
sum loss 6936.45458984375
sum loss 6874.5615234375
sum loss 6906.93017578125
sum loss 6942.505859375
EPOCH 4 started==============================
sum loss 6897.56494140625
sum loss 6945.57275390625
sum loss 6904.189453125
sum loss 6911.8017578125
sum loss 6940.0244140625
sum loss 6907.49853515625
sum loss 6906.8046875
sum loss 6924.31298828125
sum loss 6872.4033203125
sum loss 6879.6923828125
sum loss 6929.81298828125
sum loss 6889.89111328125
sum loss 6959.9833984375
sum loss 6918.9033203125
sum loss 6923.037109375
sum loss 6904.865234375
sum loss 6926.9482421875
sum loss 6871.79150390625
sum loss 6947.484375
sum loss 6889.81201171875
sum loss 6928.05078125
sum loss 6965.4453125
sum loss 6941.1142578125
sum loss 6932.55810546875
sum loss 6904.12548828125
