----------------- GPT2_oscar ------ DatasetType.BASELINE ----------------
cuda available.
----------------- GPT2_oscar ------ DatasetType.BASELINE ----------------
cuda available.
EPOCH 2 started==============================
sum loss 17635.03515625
sum loss 15720.0908203125
sum loss 15369.9951171875
sum loss 15281.2138671875
sum loss 15002.3154296875
sum loss 15029.5712890625
sum loss 14918.50390625
sum loss 14924.3486328125
sum loss 15057.0673828125
sum loss 15059.8642578125
sum loss 15014.7861328125
sum loss 14994.0126953125
sum loss 14959.8740234375
sum loss 14953.4501953125
sum loss 14994.591796875
sum loss 14978.0859375
sum loss 15072.2822265625
sum loss 14991.078125
sum loss 15023.8115234375
sum loss 15107.490234375
sum loss 15064.0966796875
sum loss 15028.4013671875
sum loss 14982.134765625
sum loss 14982.6162109375
EPOCH 3 started==============================
sum loss 14896.9951171875
sum loss 14964.62109375
sum loss 14981.0068359375
sum loss 14899.611328125
sum loss 14921.7724609375
sum loss 14930.3447265625
sum loss 14870.125
sum loss 14870.7890625
sum loss 14859.537109375
sum loss 14920.8427734375
sum loss 14923.955078125
sum loss 14883.75390625
sum loss 14860.7470703125
sum loss 14954.048828125
sum loss 14947.119140625
sum loss 14893.1474609375
sum loss 14879.6044921875
sum loss 14938.9951171875
sum loss 14962.171875
sum loss 14967.572265625
sum loss 14949.609375
sum loss 14925.873046875
sum loss 14935.4267578125
sum loss 14952.115234375
EPOCH 4 started==============================
sum loss 14943.1982421875
sum loss 14896.3984375
sum loss 14935.4765625
sum loss 14940.7314453125
sum loss 14930.0166015625
sum loss 14979.109375
sum loss 14937.9853515625
sum loss 14954.140625
sum loss 14976.240234375
sum loss 14863.2626953125
sum loss 14871.37890625
sum loss 14909.158203125
sum loss 14841.0546875
sum loss 14948.9619140625
sum loss 14893.6923828125
sum loss 15010.30859375
sum loss 14972.4287109375
sum loss 14915.3994140625
sum loss 14830.7138671875
sum loss 14958.8369140625
sum loss 14925.7578125
sum loss 14919.8623046875
sum loss 14881.0390625
sum loss 14874.8115234375
----------------- GPT2_oscar ------ DatasetType.BASELINE ----------------
cuda available.
EPOCH 3 started==============================
sum loss 14896.5810546875
sum loss 14815.3779296875
sum loss 14763.9677734375
sum loss 14794.203125
sum loss 14783.646484375
sum loss 14751.6064453125
sum loss 14768.974609375
sum loss 14703.771484375
sum loss 14800.1943359375
sum loss 14708.296875
sum loss 14629.216796875
sum loss 14725.1318359375
sum loss 14696.4453125
sum loss 14743.90234375
sum loss 14661.935546875
sum loss 14738.3623046875
sum loss 14751.4296875
sum loss 14729.9599609375
sum loss 14781.359375
sum loss 14678.599609375
sum loss 14751.6318359375
sum loss 14705.7607421875
sum loss 14738.138671875
sum loss 14745.6298828125
EPOCH 4 started==============================
sum loss 14689.3515625
sum loss 14624.6318359375
sum loss 14590.6005859375
sum loss 14586.640625
sum loss 14690.1357421875
sum loss 14617.927734375
sum loss 14565.9677734375
sum loss 14656.9306640625
sum loss 14594.818359375
sum loss 14625.783203125
sum loss 14614.1474609375
sum loss 14617.591796875
sum loss 14641.900390625
sum loss 14667.95703125
sum loss 14609.5380859375
sum loss 14608.8798828125
sum loss 14707.048828125
sum loss 14770.734375
sum loss 14613.837890625
sum loss 14680.4111328125
sum loss 14575.5966796875
sum loss 14684.5458984375
sum loss 14580.380859375
sum loss 14650.7890625
